province,demographic_group,party,percentage
tarragona,middle,icv,6.53
tarragona,middle,psc,11.06
tarragona,middle,cup,5.03
tarragona,middle,ppc,6.53
tarragona,middle,si,1.01
tarragona,middle,cs,8.04
tarragona,retired,ciu,35.72
tarragona,retired,abstain,30.62
tarragona,retired,erc,9.18
tarragona,retired,ppc,11.22
tarragona,retired,psc,7.14
tarragona,retired,cs,3.06
tarragona,retired,icv,3.06
tarragona,rural,abstain,39.55
tarragona,rural,erc,21.47
tarragona,rural,icv,6.21
tarragona,rural,ciu,9.6
tarragona,rural,psc,12.43
tarragona,rural,ppc,10.73
tarragona,unemployed,abstain,37.62
tarragona,unemployed,ciu,20.79
tarragona,unemployed,erc,7.92
tarragona,unemployed,psc,12.87
tarragona,unemployed,icv,5.94
tarragona,unemployed,cs,6.93
tarragona,unemployed,ppc,4.95
tarragona,unemployed,cup,2.97
tarragona,young,abstain,31.53
tarragona,young,ciu,18.72
tarragona,young,erc,8.87
tarragona,young,icv,4.92
tarragona,young,ppc,9.85
tarragona,young,psc,9.85
tarragona,young,cup,5.91
tarragona,young,cs,8.38
tarragona,young,si,1.97
