province,middle,retired,underage,young,unemployed,buss,rural,ind
Barcelona,12.46,18.30,18.34,13.51,8.47,6.36,6.99,15.25
Catalunya,10.85,18.14,18.53,13.58,8.20,6.36,9.97,14.07
Girona,6.27,17.02,19.43,13.95,7.71,7.44,18.91,9.27
Lleida,5.52,18.67,18.05,13.86,5.56,4.68,26.73,7.93
Tarragona,8.09,17.77,19.20,13.53,8.58,5.47,14.45,12.36
