province,age_group,sex,population,age_category
Barcelona,47 years,males,43857.0,middle
Barcelona,47 years,females,43002.0,middle
Barcelona,47 years,total,86859.0,middle
Barcelona,48 years,males,42664.0,middle
Barcelona,48 years,females,42008.0,middle
Barcelona,48 years,total,84672.0,middle
Barcelona,49 years,males,41582.0,middle
Barcelona,49 years,females,41656.0,middle
Barcelona,49 years,total,83238.0,middle
Barcelona,50 years,males,41818.0,middle
Barcelona,50 years,females,41571.0,middle
Barcelona,50 years,total,83389.0,middle
Barcelona,51 years,males,38427.0,middle
Barcelona,51 years,females,39583.0,middle
Barcelona,51 years,total,78010.0,middle
Barcelona,52 years,males,37296.0,middle
Barcelona,52 years,females,38076.0,middle
Barcelona,52 years,total,75372.0,middle
Barcelona,53 years,males,35450.0,middle
Barcelona,53 years,females,37462.0,middle
Barcelona,53 years,total,72912.0,middle
Barcelona,54 years,males,35649.0,middle
Barcelona,54 years,females,37579.0,middle
Barcelona,54 years,total,73228.0,middle
Barcelona,55 years,males,34705.0,middle
Barcelona,55 years,females,37267.0,middle
Barcelona,55 years,total,71972.0,middle
Barcelona,56 years,males,34440.0,middle
Barcelona,56 years,females,36946.0,middle
Barcelona,56 years,total,71386.0,middle
Barcelona,57 years,males,33193.0,middle
Barcelona,57 years,females,36002.0,middle
Barcelona,57 years,total,69195.0,middle
Barcelona,58 years,males,31359.0,middle
Barcelona,58 years,females,33816.0,middle
Barcelona,58 years,total,65175.0,middle
Barcelona,59 years,males,30364.0,middle
Barcelona,59 years,females,33001.0,middle
Barcelona,59 years,total,63365.0,middle
Barcelona,60 years,males,29228.0,middle
Barcelona,60 years,females,32145.0,middle
Barcelona,60 years,total,61373.0,middle
Barcelona,61 years,males,29216.0,middle
Barcelona,61 years,females,32156.0,middle
Barcelona,61 years,total,61372.0,middle
Barcelona,62 years,males,29024.0,middle
Barcelona,62 years,females,32079.0,middle
Barcelona,62 years,total,61103.0,middle
Barcelona,63 years,males,27034.0,middle
Barcelona,63 years,females,30308.0,middle
Barcelona,63 years,total,57342.0,middle
Barcelona,64 years,males,26034.0,middle
Barcelona,64 years,females,29395.0,middle
Barcelona,64 years,total,55429.0,middle
Barcelona,65 years,males,27678.0,retired
Barcelona,65 years,females,31029.0,retired
Barcelona,65 years,total,58707.0,retired
Barcelona,66 years,males,28594.0,retired
Barcelona,66 years,females,33062.0,retired
Barcelona,66 years,total,61656.0,retired
Barcelona,67 years,males,26074.0,retired
Barcelona,67 years,females,29650.0,retired
Barcelona,67 years,total,55724.0,retired
Barcelona,68 years,males,23974.0,retired
Barcelona,68 years,females,28003.0,retired
Barcelona,68 years,total,51977.0,retired
Barcelona,69 years,males,25689.0,retired
Barcelona,69 years,females,29722.0,retired
Barcelona,69 years,total,55411.0,retired
Barcelona,70 years,males,23410.0,retired
Barcelona,70 years,females,27966.0,retired
Barcelona,70 years,total,51376.0,retired
Barcelona,71 years,males,22572.0,retired
Barcelona,71 years,females,26994.0,retired
Barcelona,71 years,total,49566.0,retired
Barcelona,72 years,males,19082.0,retired
Barcelona,72 years,females,22594.0,retired
Barcelona,72 years,total,41676.0,retired
Barcelona,73 years,males,17524.0,retired
Barcelona,73 years,females,21245.0,retired
Barcelona,73 years,total,38769.0,retired
Barcelona,74 years,males,22049.0,retired
Barcelona,74 years,females,26356.0,retired
Barcelona,74 years,total,48405.0,retired
Barcelona,75 years,males,12213.0,retired
Barcelona,75 years,females,15395.0,retired
Barcelona,75 years,total,27608.0,retired
Barcelona,76 years,males,14507.0,retired
Barcelona,76 years,females,18554.0,retired
Barcelona,76 years,total,33061.0,retired
Barcelona,77 years,males,16923.0,retired
Barcelona,77 years,females,22241.0,retired
Barcelona,77 years,total,39164.0,retired
Barcelona,78 years,males,16726.0,retired
Barcelona,78 years,females,23538.0,retired
Barcelona,78 years,total,40264.0,retired
Barcelona,79 years,males,15704.0,retired
Barcelona,79 years,females,22055.0,retired
Barcelona,79 years,total,37759.0,retired
Barcelona,80 years,males,14750.0,retired
Barcelona,80 years,females,21143.0,retired
Barcelona,80 years,total,35893.0,retired
Barcelona,81 years,males,14258.0,retired
Barcelona,81 years,females,21403.0,retired
Barcelona,81 years,total,35661.0,retired
Barcelona,82 years,males,13075.0,retired
Barcelona,82 years,females,20531.0,retired
Barcelona,82 years,total,33606.0,retired
Barcelona,83 years,males,11642.0,retired
Barcelona,83 years,females,19129.0,retired
Barcelona,83 years,total,30771.0,retired
Barcelona,84 years,males,10605.0,retired
Barcelona,84 years,females,18267.0,retired
Barcelona,84 years,total,28872.0,retired
Barcelona,85 years,males,9005.0,retired
Barcelona,85 years,females,16013.0,retired
Barcelona,85 years,total,25018.0,retired
Barcelona,86 years,males,7784.0,retired
Barcelona,86 years,females,14805.0,retired
Barcelona,86 years,total,22589.0,retired
Barcelona,87 years,males,6572.0,retired
Barcelona,87 years,females,13303.0,retired
Barcelona,87 years,total,19875.0,retired
