province;No sap llegir o escriure;Sense estudis;Educació primària;ESO;Batxillerat superior;FP grau mitjà;FP grau superior;Diplomatura;Grau universitari;Llicenciatura i doctorat;Total
Catalunya;106217;517107;837313;1762340;843227;437978;454519;418988;146704;699055;6223448
Barcelona;76140;386418;586078;1248630;630502;316563;342990;313676;114502;562484;4577982
Girona;11377;48817;95531;198297;87617;40009;34747;36639;13739;51374;618146
Lleida;5692;27414;55095;115515;46541;28286;24475;25943;6028;29436;364426
Tarragona;13008;54458;100610;199898;78568;53120;52307;42731;12435;55761;662895

